resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin
0.4,leiden_svae_res0_4,sctype_svae_res0_4,6,0.18393008410930634,851.8177490234375,1.646722070289884
0.6,leiden_svae_res0_6,sctype_svae_res0_6,6,0.18335489928722382,863.5808715820312,1.670567765499192
0.8,leiden_svae_res0_8,sctype_svae_res0_8,7,0.16261997818946838,770.6199340820312,1.886970867696903
1.0,leiden_svae_res1_0,sctype_svae_res1_0,9,0.10185302048921585,622.1325073242188,2.547118717768522
1.2,leiden_svae_res1_2,sctype_svae_res1_2,11,0.09750078618526459,552.6599731445312,2.4621266004020055
