resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin
0.4,leiden_cvae_res0_4,sctype_cvae_res0_4,4,0.13799911737442017,914.2488403320312,1.8240616113759527
0.6,leiden_cvae_res0_6,sctype_cvae_res0_6,6,0.11496486514806747,779.4185791015625,2.0296936686748634
0.8,leiden_cvae_res0_8,sctype_cvae_res0_8,8,0.11717347800731659,640.197998046875,2.3477890102105605
1.0,leiden_cvae_res1_0,sctype_cvae_res1_0,9,0.0842801183462143,591.3225708007812,2.604965288277782
1.2,leiden_cvae_res1_2,sctype_cvae_res1_2,9,0.08895985037088394,591.7448120117188,2.601171186769492
