resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin
0.4,leiden_cvae_res0_4,sctype_cvae_res0_4,6,0.16273455321788788,818.8370361328125,1.7874162377901577
0.6,leiden_cvae_res0_6,sctype_cvae_res0_6,6,0.1635899692773819,822.6640625,1.7882370224916313
0.8,leiden_cvae_res0_8,sctype_cvae_res0_8,6,0.16421513259410858,825.9335327148438,1.795176115841377
1.0,leiden_cvae_res1_0,sctype_cvae_res1_0,7,0.13306960463523865,740.3743896484375,2.0010189513517083
1.2,leiden_cvae_res1_2,sctype_cvae_res1_2,9,0.09737769514322281,611.0203857421875,2.448087572445127
