resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin
0.4,leiden_svae_res0_4,sctype_svae_res0_4,6,0.17476710677146912,928.5479125976562,1.6289783585135504
0.6,leiden_svae_res0_6,sctype_svae_res0_6,6,0.17602179944515228,932.2744750976562,1.681967412762628
0.8,leiden_svae_res0_8,sctype_svae_res0_8,9,0.11575465649366379,675.4127197265625,2.2329577067873663
1.0,leiden_svae_res1_0,sctype_svae_res1_0,10,0.11676210165023804,642.3377075195312,2.2216729980126306
1.2,leiden_svae_res1_2,sctype_svae_res1_2,10,0.10985301434993744,625.4197998046875,2.2832933447109176
