resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin
0.4,leiden_pca_res0_4,sctype_pca_res0_4,9,0.01208210363984108,447.799072265625,1.5171692462463562
0.6,leiden_pca_res0_6,sctype_pca_res0_6,10,0.05133727192878723,555.0990600585938,1.5051266382236488
0.8,leiden_pca_res0_8,sctype_pca_res0_8,13,0.03483141213655472,412.09344482421875,1.5532269878436293
1.0,leiden_pca_res1_0,sctype_pca_res1_0,14,0.04508056119084358,449.5873107910156,1.5429038494660112
1.2,leiden_pca_res1_2,sctype_pca_res1_2,16,0.04457211494445801,418.7583312988281,1.6326576180500068
