resolution,leiden_key,sctype_key,n_clusters,silhouette,calinski_harabasz,davies_bouldin
0.4,leiden_svae_res0_4,sctype_svae_res0_4,4,0.19477051496505737,1083.138916015625,1.6494411509400422
0.6,leiden_svae_res0_6,sctype_svae_res0_6,6,0.1565048098564148,898.2135620117188,1.9481862408921409
0.8,leiden_svae_res0_8,sctype_svae_res0_8,7,0.13797049224376678,773.2659912109375,2.3228336195835704
1.0,leiden_svae_res1_0,sctype_svae_res1_0,9,0.0904356837272644,651.3907470703125,2.6732348569354922
1.2,leiden_svae_res1_2,sctype_svae_res1_2,10,0.08876018971204758,600.71826171875,2.6079993083932633
